county,fall_term,applicants,admits,enrollees,admit_rate,yield_rate
Alameda,2005,2991.0,2601.0,1572.0,0.8696088264794383,0.6043829296424452
Alameda,2006,3466.0,3078.0,1933.0,0.8880553952683208,0.6280051981806368
Alameda,2007,3550.0,3175.0,1867.0,0.8943661971830986,0.5880314960629921
Alameda,2008,3799.0,3346.0,1931.0,0.8807580942353251,0.5771069934249851
Alameda,2009,3814.0,3329.0,1812.0,0.872836916622968,0.5443075998798438
Alameda,2010,3870.0,3322.0,1800.0,0.8583979328165374,0.5418422636965683
Alameda,2011,4006.0,3076.0,1754.0,0.7678482276585122,0.570221066319896
Alameda,2012,4434.0,3127.0,1778.0,0.7052322958953541,0.5685960984969619
Alameda,2013,4613.0,3224.0,1800.0,0.6988944287882073,0.5583126550868487
Alameda,2014,4949.0,3360.0,1921.0,0.6789250353606789,0.5717261904761904
Alameda,2015,5016.0,3287.0,1830.0,0.6553030303030303,0.5567386674779434
Alameda,2016,5110.0,3724.0,2176.0,0.7287671232876712,0.5843179377013964
Alameda,2017,5268.0,3607.0,2006.0,0.6847000759301443,0.5561408372608816
Alameda,2018,6012.0,4000.0,2205.0,0.6653359946773121,0.55125
Alameda,2019,5832.0,3956.0,2224.0,0.678326474622771,0.5621840242669363
Alameda,2020,5732.0,4412.0,2435.0,0.7697138869504536,0.5519038984587489
Alameda,2021,6484.0,4626.0,2356.0,0.7134484885872918,0.5092952875054042
Alameda,2022,6887.0,4937.0,2554.0,0.7168578481196457,0.5173182094389305
Alameda,2023,6764.0,5228.0,2660.0,0.7729154346540509,0.5087987758224942
Alameda,2024,6886.0,5351.0,2596.0,0.7770839384257915,0.4851429639319753
Alameda,2025,6665.0,5540.0,2531.0,0.8312078019504876,0.4568592057761733
Contra Costa,2005,2196.0,1951.0,1054.0,0.8884335154826958,0.5402357765248591
Contra Costa,2006,2404.0,2173.0,1229.0,0.903910149750416,0.5655775425678785
Contra Costa,2007,2261.0,2047.0,1089.0,0.9053516143299425,0.5319980459208598
Contra Costa,2008,2500.0,2267.0,1151.0,0.9068,0.5077194530216145
Contra Costa,2009,2413.0,2159.0,1086.0,0.8947368421052632,0.5030106530801297
Contra Costa,2010,2490.0,2231.0,1041.0,0.8959839357429719,0.4666069027341999
Contra Costa,2011,2483.0,1846.0,978.0,0.743455497382199,0.5297941495124594
Contra Costa,2012,2624.0,1822.0,980.0,0.694359756097561,0.5378704720087816
Contra Costa,2013,2942.0,1939.0,1015.0,0.659075458871516,0.5234657039711191
Contra Costa,2014,2991.0,1942.0,1074.0,0.6492811768639251,0.553038105046344
Contra Costa,2015,3175.0,1937.0,1027.0,0.6100787401574803,0.5302013422818792
Contra Costa,2016,3186.0,2184.0,1226.0,0.6854990583804144,0.5613553113553114
Contra Costa,2017,3314.0,2171.0,1192.0,0.6550995775497888,0.5490557346844772
Contra Costa,2018,3904.0,2376.0,1310.0,0.6086065573770492,0.5513468013468014
Contra Costa,2019,3602.0,2343.0,1219.0,0.6504719600222099,0.520273154075971
Contra Costa,2020,3775.0,2779.0,1481.0,0.736158940397351,0.5329255127743793
Contra Costa,2021,4334.0,2898.0,1476.0,0.6686663590216889,0.5093167701863354
Contra Costa,2022,4540.0,2982.0,1504.0,0.6568281938325992,0.5043594902749833
Contra Costa,2023,4368.0,3117.0,1705.0,0.7135989010989011,0.5470003208213026
Contra Costa,2024,4491.0,3166.0,1577.0,0.7049654865286128,0.49810486418193306
