campus,fall_term,admits,applicants,enrollees,admit_rate,yield_rate
Berkeley,2017,18864,103663,9094,0.1819742820485612,0.4820822731128075
Berkeley,2018,17265,108803,8340,0.1586812863615893,0.48305821025195483
Berkeley,2019,18578,106451,8989,0.17452161088200205,0.4838518678006244
Berkeley,2020,19556,108476,8594,0.18027950883144658,0.43945592145633056
Berkeley,2021,20598,135017,9579,0.15255856669900827,0.46504515001456453
Berkeley,2022,19095,147581,9354,0.1293865741524993,0.48986645718774546
Berkeley,2023,19751,145252,9386,0.1359774736320326,0.47521644473697533
Berkeley,2024,18431,145755,8963,0.12645192274707556,0.48630025500515434
Berkeley,2025,19416,150175,9720,0.12928916264358248,0.5006180469715699
Davis,2017,41006,87739,9189,0.467363430173583,0.22408915768424134
Davis,2018,41768,95647,9479,0.43668907545453595,0.22694407201685501
Davis,2019,40091,95203,9025,0.42111067928531665,0.2251128682247886
Davis,2020,45574,94810,9175,0.4806876911718173,0.20132092859964015
Davis,2021,51928,105901,10299,0.490344755951313,0.1983323062702203
Davis,2022,44422,110281,9013,0.40280737389033466,0.20289496195578768
Davis,2023,48889,109393,9136,0.4469115939776768,0.18687230256294873
Davis,2024,50959,115342,9364,0.44180784102928683,0.1837555682018878
Davis,2025,55356,120156,9418,0.4607010885848397,0.17013512537033024
Irvine,2017,41371,104649,9520,0.39533105906410954,0.23011288100360155
Irvine,2018,36259,116530,8449,0.3111559255127435,0.23301800932182354
Irvine,2019,34912,117305,9159,0.29761732236477556,0.26234532538955085
Irvine,2020,39110,122163,8482,0.3201460343966667,0.2168754794170289
Irvine,2021,40783,133800,9343,0.3048056801195815,0.22909055243606405
Irvine,2022,34350,142009,8243,0.2418860776429663,0.23997088791848617
Irvine,2023,40394,143093,9667,0.2822919360136415,0.2393177204535327
Irvine,2024,44929,147803,9436,0.30397894494699024,0.21002025417881545
Irvine,2025,45537,149609,9220,0.30437339999598956,0.20247271449590443
Los Angeles,2017,21987,124097,9204,0.17717591883768344,0.418610997407559
Los Angeles,2018,21544,137513,9644,0.15666882403845456,0.44764203490531007
Los Angeles,2019,19054,135435,9202,0.1406874146269428,0.4829432140233022
Los Angeles,2020,21873,134831,10174,0.1622253042697896,0.46513966991267774
Los Angeles,2021,20463,167946,10018,0.12184273516487443,0.48956653472120415
Los Angeles,2022,18805,174744,10074,0.10761456759602618,0.5357085881414517
Los Angeles,2023,18926,169882,10250,0.11140674114973922,0.541583007502906
Los Angeles,2024,19291,173450,10443,0.1112193715768233,0.5413405214867036
Los Angeles,2025,20125,173361,10484,0.11608723992132025,0.520944099378882
Merced,2017,17423,26049,2443,0.6688548504741065,0.14021695460024106
Merced,2018,18622,28827,2397,0.645991605092448,0.1287187197937923
Merced,2019,20333,29373,2273,0.6922343648929289,0.11178871784783358
Merced,2020,24045,29917,2139,0.8037236353912491,0.08895820336868372
Merced,2021,27125,32755,2658,0.8281178446038773,0.09799078341013825
Merced,2022,29454,34146,2597,0.8625900544719733,0.08817138588986216
Merced,2023,29233,34278,2611,0.8528210514032324,0.08931686792323744
Merced,2024,31285,35714,2309,0.8759870078960632,0.07380533802141602
Merced,2025,50280,54548,2249,0.9217569846740485,0.04472951471758154
Riverside,2017,31624,54298,5938,0.5824155585841099,0.1877687832026309
Riverside,2018,32948,61388,6448,0.5367172737342804,0.19570231880539032
Riverside,2019,36473,62059,6712,0.5877149164504746,0.18402654018040743
Riverside,2020,41555,63463,6945,0.6547909805713565,0.16712790277944892
Riverside,2021,43671,67417,7259,0.6477743002506786,0.1662201460923725
Riverside,2022,45440,67621,7034,0.6719805977433045,0.1547975352112676
Riverside,2023,46561,69029,6757,0.6745136102217908,0.145121453577028
Riverside,2024,51377,70316,6693,0.730658740542693,0.130272300835004
Riverside,2025,70557,84607,8294,0.8339380902289408,0.11755034936292642
San Diego,2017,39617,106240,8564,0.37290097891566265,0.2161698260847616
