high_school,campus,fall_term,applicants,admits,enrollees,admit_rate,yield_rate
ABRAHAM LINCOLN HIGH SCHOOL,Berkeley,2010,130.0,16.0,11.0,0.12307692307692308,0.6875
ABRAHAM LINCOLN HIGH SCHOOL,Berkeley,2011,123.0,9.0,4.0,0.07317073170731707,0.4444444444444444
ABRAHAM LINCOLN HIGH SCHOOL,Berkeley,2012,130.0,19.0,14.0,0.14615384615384616,0.7368421052631579
ABRAHAM LINCOLN HIGH SCHOOL,Berkeley,2013,106.0,12.0,6.0,0.11320754716981132,0.5
ABRAHAM LINCOLN HIGH SCHOOL,Berkeley,2014,150.0,14.0,13.0,0.09333333333333334,0.9285714285714286
ABRAHAM LINCOLN HIGH SCHOOL,Berkeley,2015,139.0,15.0,3.0,0.1079136690647482,0.2
ABRAHAM LINCOLN HIGH SCHOOL,Berkeley,2016,162.0,17.0,11.0,0.10493827160493827,0.6470588235294118
ABRAHAM LINCOLN HIGH SCHOOL,Berkeley,2017,188.0,18.0,10.0,0.09574468085106383,0.5555555555555556
ABRAHAM LINCOLN HIGH SCHOOL,Berkeley,2018,163.0,20.0,12.0,0.12269938650306748,0.6
ABRAHAM LINCOLN HIGH SCHOOL,Berkeley,2019,160.0,14.0,7.0,0.0875,0.5
ABRAHAM LINCOLN HIGH SCHOOL,Berkeley,2020,154.0,31.0,18.0,0.2012987012987013,0.5806451612903226
ABRAHAM LINCOLN HIGH SCHOOL,Berkeley,2021,253.0,32.0,24.0,0.12648221343873517,0.75
ABRAHAM LINCOLN HIGH SCHOOL,Berkeley,2022,273.0,46.0,26.0,0.1684981684981685,0.5652173913043478
ABRAHAM LINCOLN HIGH SCHOOL,Berkeley,2023,256.0,39.0,24.0,0.15234375,0.6153846153846154
ABRAHAM LINCOLN HIGH SCHOOL,Berkeley,2024,260.0,41.0,28.0,0.1576923076923077,0.6829268292682927
ABRAHAM LINCOLN HIGH SCHOOL,Berkeley,2025,257.0,41.0,26.0,0.15953307392996108,0.6341463414634146
ABRAHAM LINCOLN HIGH SCHOOL,Davis,2010,222.0,74.0,24.0,0.3333333333333333,0.32432432432432434
ABRAHAM LINCOLN HIGH SCHOOL,Davis,2011,205.0,62.0,18.0,0.3024390243902439,0.2903225806451613
ABRAHAM LINCOLN HIGH SCHOOL,Davis,2012,174.0,73.0,33.0,0.41954022988505746,0.4520547945205479
ABRAHAM LINCOLN HIGH SCHOOL,Davis,2013,169.0,60.0,25.0,0.35502958579881655,0.4166666666666667
ABRAHAM LINCOLN HIGH SCHOOL,Davis,2014,197.0,72.0,31.0,0.36548223350253806,0.4305555555555556
ABRAHAM LINCOLN HIGH SCHOOL,Davis,2015,183.0,52.0,22.0,0.28415300546448086,0.4230769230769231
ABRAHAM LINCOLN HIGH SCHOOL,Davis,2016,225.0,74.0,28.0,0.3288888888888889,0.3783783783783784
ABRAHAM LINCOLN HIGH SCHOOL,Davis,2017,270.0,79.0,26.0,0.29259259259259257,0.3291139240506329
ABRAHAM LINCOLN HIGH SCHOOL,Davis,2018,244.0,82.0,39.0,0.3360655737704918,0.47560975609756095
ABRAHAM LINCOLN HIGH SCHOOL,Davis,2019,231.0,71.0,30.0,0.30735930735930733,0.4225352112676056
ABRAHAM LINCOLN HIGH SCHOOL,Davis,2020,246.0,91.0,30.0,0.3699186991869919,0.32967032967032966
ABRAHAM LINCOLN HIGH SCHOOL,Davis,2021,292.0,119.0,52.0,0.4075342465753425,0.4369747899159664
ABRAHAM LINCOLN HIGH SCHOOL,Davis,2022,281.0,105.0,39.0,0.3736654804270463,0.37142857142857144
ABRAHAM LINCOLN HIGH SCHOOL,Davis,2023,278.0,145.0,64.0,0.5215827338129496,0.4413793103448276
ABRAHAM LINCOLN HIGH SCHOOL,Davis,2024,278.0,100.0,32.0,0.3597122302158273,0.32
ABRAHAM LINCOLN HIGH SCHOOL,Davis,2025,275.0,116.0,35.0,0.4218181818181818,0.3017241379310345
ABRAHAM LINCOLN HIGH SCHOOL,Irvine,2010,151.0,33.0,5.0,0.2185430463576159,0.15151515151515152
