high_school,fall_term,applicants,admits,enrollees,admit_rate,yield_rate,city,county,cde_district,cds_code,school_type,charter,cohort_students,graduates,grad_rate,ag_completers,ag_completion_rate,hs_completers,college_going_rate,enrolled_uc,enrolled_csu,enrolled_ccc,enrolled_in_state_private,enrolled_out_of_state,enrollment_k12,frpm_count,frpm_pct,caaspp_ela_mean_score,caaspp_mathematics_mean_score,caaspp_ela_pct_met,caaspp_mathematics_pct_met
ABRAHAM LINCOLN HIGH SCHOOL,2005,252.0,214.0,138.0,0.8492063492063492,0.6448598130841121,San Francisco,San Francisco,San Francisco Unified,38684783833241,High Schools (Public),False,,,,,,,,,,,,,,,,,,,
ABRAHAM LINCOLN HIGH SCHOOL,2006,309.0,268.0,172.0,0.8673139158576052,0.6417910447761194,San Francisco,San Francisco,San Francisco Unified,38684783833241,High Schools (Public),False,,,,,,,,,,,,,,,,,,,
ABRAHAM LINCOLN HIGH SCHOOL,2007,216.0,178.0,103.0,0.8240740740740741,0.5786516853932584,San Francisco,San Francisco,San Francisco Unified,38684783833241,High Schools (Public),False,,,,,,,,,,,,,,,,,,,
ABRAHAM LINCOLN HIGH SCHOOL,2008,216.0,176.0,98.0,0.8148148148148148,0.5568181818181818,San Francisco,San Francisco,San Francisco Unified,38684783833241,High Schools (Public),False,,,,,,,,,,,,,,,,,,,
ABRAHAM LINCOLN HIGH SCHOOL,2009,209.0,174.0,97.0,0.8325358851674641,0.5574712643678161,San Francisco,San Francisco,San Francisco Unified,38684783833241,High Schools (Public),False,,,,,,,,,,,,,,,,,,,
ABRAHAM LINCOLN HIGH SCHOOL,2010,274.0,214.0,119.0,0.781021897810219,0.5560747663551402,San Francisco,San Francisco,San Francisco Unified,38684783833241,High Schools (Public),False,,,,,,,,,,,,,,,,,,,
ABRAHAM LINCOLN HIGH SCHOOL,2011,249.0,178.0,114.0,0.714859437751004,0.6404494382022472,San Francisco,San Francisco,San Francisco Unified,38684783833241,High Schools (Public),False,,,,,,,,,,,,,,,,,,,
ABRAHAM LINCOLN HIGH SCHOOL,2012,220.0,156.0,121.0,0.7090909090909091,0.7756410256410257,San Francisco,San Francisco,San Francisco Unified,38684783833241,High Schools (Public),False,,,,,,,,,,,,,,,,,,,
ABRAHAM LINCOLN HIGH SCHOOL,2013,233.0,137.0,87.0,0.5879828326180258,0.635036496350365,San Francisco,San Francisco,San Francisco Unified,38684783833241,High Schools (Public),False,,,,,,,,,,,,,,,,,,,
ABRAHAM LINCOLN HIGH SCHOOL,2014,271.0,153.0,105.0,0.5645756457564576,0.6862745098039216,San Francisco,San Francisco,San Francisco Unified,38684783833241,High Schools (Public),False,,,,,,,,,,,,,1958.0,,,,,,
ABRAHAM LINCOLN HIGH SCHOOL,2015,262.0,145.0,90.0,0.5534351145038168,0.6206896551724138,San Francisco,San Francisco,San Francisco Unified,38684783833241,High Schools (Public),False,,,,,,430.0,83.7,66.0,94.0,180.0,11.0,9.0,2027.0,1304.0,0.643315244203256,,,,
ABRAHAM LINCOLN HIGH SCHOOL,2016,327.0,215.0,154.0,0.6574923547400612,0.7162790697674418,San Francisco,San Francisco,San Francisco Unified,38684783833241,High Schools (Public),False,,,,,,476.0,88.7,105.0,109.0,189.0,10.0,9.0,2046.0,1060.0,0.5180840664711632,2611.5,2624.3,67.0,51.0
ABRAHAM LINCOLN HIGH SCHOOL,2017,365.0,204.0,122.0,0.5589041095890411,0.5980392156862745,San Francisco,San Francisco,San Francisco Unified,38684783833241,High Schools (Public),False,505.0,456.0,90.3,319.0,70.0,469.0,84.0,77.0,129.0,157.0,18.0,13.0,2072.0,1097.0,0.5294401544401545,2622.3,2621.6,70.0,55.0
ABRAHAM LINCOLN HIGH SCHOOL,2018,350.0,209.0,129.0,0.5971428571428572,0.6172248803827751,San Francisco,San Francisco,San Francisco Unified,38684783833241,High Schools (Public),False,529.0,471.0,89.0,247.0,52.4,477.0,82.0,97.0,114.0,147.0,13.0,20.0,2067.0,1031.0,0.4987905176584422,2636.6,2631.7,74.1,57.81
ABRAHAM LINCOLN HIGH SCHOOL,2019,331.0,189.0,103.0,0.5709969788519638,0.544973544973545,San Francisco,San Francisco,San Francisco Unified,38684783833241,High Schools (Public),False,521.0,475.0,91.2,320.0,67.4,496.0,78.0,78.0,145.0,130.0,15.0,19.0,2070.0,1021.0,0.4932367149758454,2608.1,2621.9,65.03,54.67
ABRAHAM LINCOLN HIGH SCHOOL,2020,338.0,251.0,142.0,0.742603550295858,0.5657370517928287,San Francisco,San Francisco,San Francisco Unified,38684783833241,High Schools (Public),False,508.0,473.0,93.1,282.0,59.6,489.0,71.6,91.0,98.0,132.0,10.0,19.0,2046.0,905.0,0.4423264907135875,2605.1,2608.9,64.79,49.06
ABRAHAM LINCOLN HIGH SCHOOL,2021,395.0,254.0,163.0,0.6430379746835443,0.6417322834645669,San Francisco,San Francisco,San Francisco Unified,38684783833241,High Schools (Public),False,526.0,503.0,95.6,360.0,71.6,512.0,77.3,128.0,116.0,97.0,20.0,35.0,1991.0,970.0,0.4871923656454043,,,,
ABRAHAM LINCOLN HIGH SCHOOL,2022,373.0,261.0,169.0,0.6997319034852547,0.6475095785440613,San Francisco,San Francisco,San Francisco Unified,38684783833241,High Schools (Public),False,501.0,473.0,94.4,278.0,58.8,476.0,80.0,133.0,88.0,119.0,9.0,32.0,,,,2582.7,2567.4,54.34,30.73
ABRAHAM LINCOLN HIGH SCHOOL,2023,364.0,286.0,189.0,0.7857142857142857,0.6608391608391608,San Francisco,San Francisco,San Francisco Unified,38684783833241,High Schools (Public),False,508.0,460.0,90.6,271.0,58.9,461.0,84.4,139.0,91.0,137.0,10.0,12.0,1997.0,975.0,0.4882323485227842,2585.2,2573.2,55.8,38.67
ABRAHAM LINCOLN HIGH SCHOOL,2024,353.0,239.0,135.0,0.6770538243626062,0.5648535564853556,San Francisco,San Francisco,San Francisco Unified,38684783833241,High Schools (Public),False,490.0,439.0,89.6,294.0,67.0,,,,,,,,2037.0,1016.0,0.498772704958272,2588.5,2576.0,55.28,34.68
ABRAHAM LINCOLN HIGH SCHOOL,2025,355.0,276.0,141.0,0.7774647887323943,0.5108695652173914,San Francisco,San Francisco,San Francisco Unified,38684783833241,High Schools (Public),False,505.0,466.0,92.3,304.0,65.2,,,,,,,,2074.0,1131.0,0.5453230472516876,2615.0,2581.8,66.67,40.43
ACADEMY-SAN FRAN @ MCATEER,2012,25.0,22.0,12.0,0.88,0.5454545454545454,San Francisco,San Francisco,,,,,,,,,,,,,,,,,,,,,,,
ACADEMY-SAN FRAN @ MCATEER,2013,21.0,15.0,10.0,0.7142857142857143,0.6666666666666666,San Francisco,San Francisco,,,,,,,,,,,,,,,,,,,,,,,
ACADEMY-SAN FRAN @ MCATEER,2014,19.0,13.0,8.0,0.6842105263157895,0.6153846153846154,San Francisco,San Francisco,,,,,,,,,,,,,,,,,,,,,,,
ACADEMY-SAN FRAN @ MCATEER,2015,20.0,11.0,8.0,0.55,0.7272727272727273,San Francisco,San Francisco,,,,,,,,,,,,,,,,,,,,,,,
ACADEMY-SAN FRAN @ MCATEER,2016,20.0,15.0,12.0,0.75,0.8,San Francisco,San Francisco,,,,,,,,,,,,,,,,,,,,,,,
ACADEMY-SAN FRAN @ MCATEER,2017,19.0,8.0,5.0,0.42105263157894735,0.625,San Francisco,San Francisco,,,,,,,,,,,,,,,,,,,,,,,
ACADEMY-SAN FRAN @ MCATEER,2018,24.0,10.0,9.0,0.4166666666666667,0.9,San Francisco,San Francisco,,,,,,,,,,,,,,,,,,,,,,,
ACADEMY-SAN FRAN @ MCATEER,2019,13.0,9.0,7.0,0.6923076923076923,0.7777777777777778,San Francisco,San Francisco,,,,,,,,,,,,,,,,,,,,,,,
ACADEMY-SAN FRAN @ MCATEER,2020,27.0,20.0,13.0,0.7407407407407407,0.65,San Francisco,San Francisco,,,,,,,,,,,,,,,,,,,,,,,
ACADEMY-SAN FRAN @ MCATEER,2021,35.0,18.0,14.0,0.5142857142857142,0.7777777777777778,San Francisco,San Francisco,,,,,,,,,,,,,,,,,,,,,,,
ACADEMY-SAN FRAN @ MCATEER,2022,29.0,21.0,13.0,0.7241379310344828,0.6190476190476191,San Francisco,San Francisco,,,,,,,,,,,,,,,,,,,,,,,
