entrant_level,campus,fall_term,count_category,ethnicity,n
freshman,Systemwide,2017,applicants,African American,9664
freshman,Systemwide,2018,applicants,African American,10294
freshman,Systemwide,2019,applicants,African American,9866
freshman,Systemwide,2020,applicants,African American,9513
freshman,Systemwide,2021,applicants,African American,12771
freshman,Systemwide,2022,applicants,African American,12990
freshman,Systemwide,2023,applicants,African American,12435
freshman,Systemwide,2024,applicants,African American,12895
freshman,Systemwide,2025,applicants,African American,12167
freshman,Systemwide,2017,applicants,American Indian,969
freshman,Systemwide,2018,applicants,American Indian,902
freshman,Systemwide,2019,applicants,American Indian,765
freshman,Systemwide,2020,applicants,American Indian,744
freshman,Systemwide,2021,applicants,American Indian,842
freshman,Systemwide,2022,applicants,American Indian,1152
freshman,Systemwide,2023,applicants,American Indian,1188
freshman,Systemwide,2024,applicants,American Indian,1190
freshman,Systemwide,2025,applicants,American Indian,1128
freshman,Systemwide,2017,applicants,Asian,43485
freshman,Systemwide,2018,applicants,Asian,48062
freshman,Systemwide,2019,applicants,Asian,47698
freshman,Systemwide,2020,applicants,Asian,47605
freshman,Systemwide,2021,applicants,Asian,55046
freshman,Systemwide,2022,applicants,Asian,59078
freshman,Systemwide,2023,applicants,Asian,58903
freshman,Systemwide,2024,applicants,Asian,58573
freshman,Systemwide,2025,applicants,Asian,58987
freshman,Systemwide,2017,applicants,Hispanic/Latino(a),45241
freshman,Systemwide,2018,applicants,Hispanic/Latino(a),48478
freshman,Systemwide,2019,applicants,Hispanic/Latino(a),47399
freshman,Systemwide,2020,applicants,Hispanic/Latino(a),46633
freshman,Systemwide,2021,applicants,Hispanic/Latino(a),54068
freshman,Systemwide,2022,applicants,Hispanic/Latino(a),55705
freshman,Systemwide,2023,applicants,Hispanic/Latino(a),56495
freshman,Systemwide,2024,applicants,Hispanic/Latino(a),57598
freshman,Systemwide,2025,applicants,Hispanic/Latino(a),55624
freshman,Systemwide,2017,applicants,Pacific Islander,507
freshman,Systemwide,2018,applicants,Pacific Islander,529
freshman,Systemwide,2019,applicants,Pacific Islander,476
freshman,Systemwide,2020,applicants,Pacific Islander,435
freshman,Systemwide,2021,applicants,Pacific Islander,562
freshman,Systemwide,2022,applicants,Pacific Islander,526
freshman,Systemwide,2023,applicants,Pacific Islander,533
freshman,Systemwide,2024,applicants,Pacific Islander,502
freshman,Systemwide,2025,applicants,Pacific Islander,508
freshman,Systemwide,2017,applicants,White,40187
freshman,Systemwide,2018,applicants,White,40078
freshman,Systemwide,2019,applicants,White,38235
freshman,Systemwide,2020,applicants,White,35518
freshman,Systemwide,2021,applicants,White,46256
freshman,Systemwide,2022,applicants,White,45237
freshman,Systemwide,2023,applicants,White,42733
freshman,Systemwide,2024,applicants,White,40379
freshman,Systemwide,2025,applicants,White,38390
freshman,Systemwide,2017,applicants,Unknown,4612
freshman,Systemwide,2018,applicants,Unknown,5220
freshman,Systemwide,2019,applicants,Unknown,4507
freshman,Systemwide,2020,applicants,Unknown,5151
freshman,Systemwide,2021,applicants,Unknown,4908
freshman,Systemwide,2022,applicants,Unknown,4996
freshman,Systemwide,2023,applicants,Unknown,5135
freshman,Systemwide,2024,applicants,Unknown,6446
freshman,Systemwide,2025,applicants,Unknown,6498
freshman,Systemwide,2017,applicants,International,27193
freshman,Systemwide,2018,applicants,International,28566
freshman,Systemwide,2019,applicants,International,27770
freshman,Systemwide,2020,applicants,International,26709
freshman,Systemwide,2021,applicants,International,29389
freshman,Systemwide,2022,applicants,International,31326
freshman,Systemwide,2023,applicants,International,29452
freshman,Systemwide,2024,applicants,International,29548
freshman,Systemwide,2025,applicants,International,32087
freshman,Systemwide,2017,admits,African American,4352
freshman,Systemwide,2018,admits,African American,4444
freshman,Systemwide,2019,admits,African American,4406
freshman,Systemwide,2020,admits,African American,5170
freshman,Systemwide,2021,admits,African American,6839
freshman,Systemwide,2022,admits,African American,6399
freshman,Systemwide,2023,admits,African American,6559
freshman,Systemwide,2024,admits,African American,7139
freshman,Systemwide,2025,admits,African American,7620
freshman,Systemwide,2017,admits,American Indian,561
freshman,Systemwide,2018,admits,American Indian,507
freshman,Systemwide,2019,admits,American Indian,439
freshman,Systemwide,2020,admits,American Indian,476
freshman,Systemwide,2021,admits,American Indian,560
freshman,Systemwide,2022,admits,American Indian,687
freshman,Systemwide,2023,admits,American Indian,766
freshman,Systemwide,2024,admits,American Indian,757
freshman,Systemwide,2025,admits,American Indian,788
freshman,Systemwide,2017,admits,Asian,30302
freshman,Systemwide,2018,admits,Asian,32138
freshman,Systemwide,2019,admits,Asian,32567
freshman,Systemwide,2020,admits,Asian,36034
freshman,Systemwide,2021,admits,Asian,38738
freshman,Systemwide,2022,admits,Asian,39264
freshman,Systemwide,2023,admits,Asian,40719
freshman,Systemwide,2024,admits,Asian,41519
freshman,Systemwide,2025,admits,Asian,45313
freshman,Systemwide,2017,admits,Hispanic/Latino(a),24414
freshman,Systemwide,2018,admits,Hispanic/Latino(a),25078
freshman,Systemwide,2019,admits,Hispanic/Latino(a),26247
freshman,Systemwide,2020,admits,Hispanic/Latino(a),30468
freshman,Systemwide,2021,admits,Hispanic/Latino(a),34279
freshman,Systemwide,2022,admits,Hispanic/Latino(a),34121
freshman,Systemwide,2023,admits,Hispanic/Latino(a),36381
freshman,Systemwide,2024,admits,Hispanic/Latino(a),38781
freshman,Systemwide,2025,admits,Hispanic/Latino(a),41458
freshman,Systemwide,2017,admits,Pacific Islander,257
freshman,Systemwide,2018,admits,Pacific Islander,265
freshman,Systemwide,2019,admits,Pacific Islander,259
freshman,Systemwide,2020,admits,Pacific Islander,265
freshman,Systemwide,2021,admits,Pacific Islander,341
freshman,Systemwide,2022,admits,Pacific Islander,296
freshman,Systemwide,2023,admits,Pacific Islander,321
freshman,Systemwide,2024,admits,Pacific Islander,304
freshman,Systemwide,2025,admits,Pacific Islander,374
freshman,Systemwide,2017,admits,White,23941
freshman,Systemwide,2018,admits,White,22874
freshman,Systemwide,2019,admits,White,22469
freshman,Systemwide,2020,admits,White,23503
freshman,Systemwide,2021,admits,White,27682
freshman,Systemwide,2022,admits,White,24079
freshman,Systemwide,2023,admits,White,25578
freshman,Systemwide,2024,admits,White,25099
freshman,Systemwide,2025,admits,White,26368
freshman,Systemwide,2017,admits,Unknown,2928
freshman,Systemwide,2018,admits,Unknown,3232
freshman,Systemwide,2019,admits,Unknown,2877
freshman,Systemwide,2020,admits,Unknown,3581
freshman,Systemwide,2021,admits,Unknown,3427
freshman,Systemwide,2022,admits,Unknown,3161
freshman,Systemwide,2023,admits,Unknown,3425
freshman,Systemwide,2024,admits,Unknown,4430
freshman,Systemwide,2025,admits,Unknown,4832
freshman,Systemwide,2017,admits,International,18067
freshman,Systemwide,2018,admits,International,18901
freshman,Systemwide,2019,admits,International,18404
freshman,Systemwide,2020,admits,International,18745
freshman,Systemwide,2021,admits,International,19796
freshman,Systemwide,2022,admits,International,17226
freshman,Systemwide,2023,admits,International,17418
freshman,Systemwide,2024,admits,International,18967
freshman,Systemwide,2025,admits,International,21923
freshman,Systemwide,2017,enrollees,African American,1873
freshman,Systemwide,2018,enrollees,African American,1915
freshman,Systemwide,2019,enrollees,African American,1778
freshman,Systemwide,2020,enrollees,African American,1916
freshman,Systemwide,2021,enrollees,African American,2298
freshman,Systemwide,2022,enrollees,African American,2274
freshman,Systemwide,2023,enrollees,African American,2404
freshman,Systemwide,2024,enrollees,African American,2492
freshman,Systemwide,2025,enrollees,African American,2468
freshman,Systemwide,2017,enrollees,American Indian,204
freshman,Systemwide,2018,enrollees,American Indian,223
freshman,Systemwide,2019,enrollees,American Indian,193
freshman,Systemwide,2020,enrollees,American Indian,184
freshman,Systemwide,2021,enrollees,American Indian,214
freshman,Systemwide,2022,enrollees,American Indian,310
freshman,Systemwide,2023,enrollees,American Indian,320
freshman,Systemwide,2024,enrollees,American Indian,346
freshman,Systemwide,2025,enrollees,American Indian,319
freshman,Systemwide,2017,enrollees,Asian,15390
freshman,Systemwide,2018,enrollees,Asian,16294
freshman,Systemwide,2019,enrollees,Asian,16246
freshman,Systemwide,2020,enrollees,Asian,17347
freshman,Systemwide,2021,enrollees,Asian,17990
freshman,Systemwide,2022,enrollees,Asian,18381
freshman,Systemwide,2023,enrollees,Asian,18670
freshman,Systemwide,2024,enrollees,Asian,18489
freshman,Systemwide,2025,enrollees,Asian,18678
freshman,Systemwide,2017,enrollees,Hispanic/Latino(a),11960
freshman,Systemwide,2018,enrollees,Hispanic/Latino(a),11678
freshman,Systemwide,2019,enrollees,Hispanic/Latino(a),11695
freshman,Systemwide,2020,enrollees,Hispanic/Latino(a),11916
freshman,Systemwide,2021,enrollees,Hispanic/Latino(a),13573
freshman,Systemwide,2022,enrollees,Hispanic/Latino(a),13065
freshman,Systemwide,2023,enrollees,Hispanic/Latino(a),14482
freshman,Systemwide,2024,enrollees,Hispanic/Latino(a),14103
freshman,Systemwide,2025,enrollees,Hispanic/Latino(a),14694
freshman,Systemwide,2017,enrollees,Pacific Islander,97
freshman,Systemwide,2018,enrollees,Pacific Islander,104
freshman,Systemwide,2019,enrollees,Pacific Islander,116
freshman,Systemwide,2020,enrollees,Pacific Islander,97
freshman,Systemwide,2021,enrollees,Pacific Islander,137
freshman,Systemwide,2022,enrollees,Pacific Islander,101
freshman,Systemwide,2023,enrollees,Pacific Islander,125
freshman,Systemwide,2024,enrollees,Pacific Islander,108
freshman,Systemwide,2025,enrollees,Pacific Islander,136
freshman,Systemwide,2017,enrollees,White,9314
freshman,Systemwide,2018,enrollees,White,8871
freshman,Systemwide,2019,enrollees,White,8867
freshman,Systemwide,2020,enrollees,White,8826
freshman,Systemwide,2021,enrollees,White,10152
freshman,Systemwide,2022,enrollees,White,8813
freshman,Systemwide,2023,enrollees,White,9030
freshman,Systemwide,2024,enrollees,White,8744
freshman,Systemwide,2025,enrollees,White,8856
freshman,Systemwide,2017,enrollees,Unknown,1214
freshman,Systemwide,2018,enrollees,Unknown,1327
freshman,Systemwide,2019,enrollees,Unknown,1128
freshman,Systemwide,2020,enrollees,Unknown,1334
freshman,Systemwide,2021,enrollees,Unknown,1355
freshman,Systemwide,2022,enrollees,Unknown,1187
freshman,Systemwide,2023,enrollees,Unknown,1349
freshman,Systemwide,2024,enrollees,Unknown,1544
freshman,Systemwide,2025,enrollees,Unknown,1592
freshman,Systemwide,2017,enrollees,International,5954
freshman,Systemwide,2018,enrollees,International,6265
freshman,Systemwide,2019,enrollees,International,5928
freshman,Systemwide,2020,enrollees,International,5089
freshman,Systemwide,2021,enrollees,International,6008
freshman,Systemwide,2022,enrollees,International,4457
freshman,Systemwide,2023,enrollees,International,4586
freshman,Systemwide,2024,enrollees,International,4796
freshman,Systemwide,2025,enrollees,International,5866
freshman,Berkeley,2017,applicants,African American,4439
freshman,Berkeley,2018,applicants,African American,4743
freshman,Berkeley,2019,applicants,African American,4364
freshman,Berkeley,2020,applicants,African American,4454
freshman,Berkeley,2021,applicants,African American,6587
freshman,Berkeley,2022,applicants,African American,7313
freshman,Berkeley,2023,applicants,African American,6993
freshman,Berkeley,2024,applicants,African American,6918
freshman,Berkeley,2025,applicants,African American,6598
freshman,Berkeley,2017,applicants,American Indian,427
freshman,Berkeley,2018,applicants,American Indian,382
freshman,Berkeley,2019,applicants,American Indian,338
freshman,Berkeley,2020,applicants,American Indian,292
freshman,Berkeley,2021,applicants,American Indian,365
freshman,Berkeley,2022,applicants,American Indian,581
freshman,Berkeley,2023,applicants,American Indian,588
freshman,Berkeley,2024,applicants,American Indian,620
freshman,Berkeley,2025,applicants,American Indian,535
freshman,Berkeley,2017,applicants,Asian,25944
freshman,Berkeley,2018,applicants,Asian,28946
freshman,Berkeley,2019,applicants,Asian,28913
freshman,Berkeley,2020,applicants,Asian,29789
freshman,Berkeley,2021,applicants,Asian,36553
freshman,Berkeley,2022,applicants,Asian,42488
freshman,Berkeley,2023,applicants,Asian,42772
freshman,Berkeley,2024,applicants,Asian,42207
freshman,Berkeley,2025,applicants,Asian,43575
freshman,Berkeley,2017,applicants,Hispanic/Latino(a),15883
freshman,Berkeley,2018,applicants,Hispanic/Latino(a),16293
freshman,Berkeley,2019,applicants,Hispanic/Latino(a),15877
freshman,Berkeley,2020,applicants,Hispanic/Latino(a),15780
freshman,Berkeley,2021,applicants,Hispanic/Latino(a),21484
freshman,Berkeley,2022,applicants,Hispanic/Latino(a),25690
freshman,Berkeley,2023,applicants,Hispanic/Latino(a),25706
freshman,Berkeley,2024,applicants,Hispanic/Latino(a),25176
freshman,Berkeley,2025,applicants,Hispanic/Latino(a),25084
freshman,Berkeley,2017,applicants,Pacific Islander,222
freshman,Berkeley,2018,applicants,Pacific Islander,224
freshman,Berkeley,2019,applicants,Pacific Islander,203
freshman,Berkeley,2020,applicants,Pacific Islander,198
freshman,Berkeley,2021,applicants,Pacific Islander,274
freshman,Berkeley,2022,applicants,Pacific Islander,267
freshman,Berkeley,2023,applicants,Pacific Islander,282
freshman,Berkeley,2024,applicants,Pacific Islander,247
freshman,Berkeley,2025,applicants,Pacific Islander,280
freshman,Berkeley,2017,applicants,White,20053
freshman,Berkeley,2018,applicants,White,18911
freshman,Berkeley,2019,applicants,White,18013
freshman,Berkeley,2020,applicants,White,17440
freshman,Berkeley,2021,applicants,White,23198
freshman,Berkeley,2022,applicants,White,25181
freshman,Berkeley,2023,applicants,White,23944
freshman,Berkeley,2024,applicants,White,21980
freshman,Berkeley,2025,applicants,White,21690
freshman,Berkeley,2017,applicants,Unknown,2643
freshman,Berkeley,2018,applicants,Unknown,3046
freshman,Berkeley,2019,applicants,Unknown,2655
freshman,Berkeley,2020,applicants,Unknown,3006
freshman,Berkeley,2021,applicants,Unknown,3393
freshman,Berkeley,2022,applicants,Unknown,3577
freshman,Berkeley,2023,applicants,Unknown,3770
freshman,Berkeley,2024,applicants,Unknown,4847
freshman,Berkeley,2025,applicants,Unknown,5095
freshman,Berkeley,2017,applicants,International,15434
