fall_term,campus,atp_code,cds_code,high_school,city,county,cde_district,zip,lat,lon,charter,applicants,admits,enrollees,admit_rate,yield_rate,applicant_gpa,admit_gpa,enrollee_gpa,adm_african_american,adm_american_indian,adm_asian,adm_domestic_unknown,adm_hispanic_latinx,adm_int_l,adm_pacific_islander,adm_white,app_african_american,app_american_indian,app_asian,app_domestic_unknown,app_hispanic_latinx,app_int_l,app_pacific_islander,app_white,enr_african_american,enr_american_indian,enr_asian,enr_domestic_unknown,enr_hispanic_latinx,enr_int_l,enr_pacific_islander,enr_white,school_type,match_method,cohort_students,graduates,grad_rate,ag_completers,ag_completion_rate,hs_completers,college_going_rate,enrolled_uc,enrolled_csu,enrolled_ccc,enrolled_in_state_private,enrolled_out_of_state,enrollment_k12,frpm_count,frpm_pct,caaspp_ela_mean_score,caaspp_mathematics_mean_score,caaspp_ela_pct_met,caaspp_mathematics_pct_met,is_universitywide,is_campus,has_characteristics
2005,Universitywide,52910,38684783833241,ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,San Francisco Unified,94116-1723,37.747259,-122.48132,False,172,145,104,0.8430232558139535,0.7172413793103448,3.8975,4.005362319,4.101428571,,,120,9,5,,,9,,,144,10,6,,,9,,,88,5,4,,,5,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,True,False,True
2005,Universitywide,53075,43696664333795,ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,San Jose Unified,95126-2002,37.329212,-121.92388,False,80,69,34,0.8625,0.4927536231884058,3.946744186,4.001764706,4.127931034,,,16,6,14,,,32,,,17,7,20,,,35,,,7,,7,,,18,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,True,False,True
2005,Universitywide,51315,07616300730283,ACALANES HIGH SCHOOL,Lafayette,Contra Costa,Acalanes Union High,94549-2623,37.904313,-122.09906,False,138,129,62,0.9347826086956522,0.4806201550387597,3.980797546,3.99125,4.07245283,,,20,12,6,,,88,,,22,13,6,,,94,,,15,5,,,,40,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,True,False,True
2005,Universitywide,53276,43696744338802,ADRIAN C WILCOX HIGH SCHOOL,Santa Clara,Santa Clara,Santa Clara Unified,95051-1153,37.366875,-121.98578,False,75,71,44,0.9466666666666668,0.6197183098591549,3.851448276,3.89720339,4.016071429,,,40,,6,,,19,,,42,,7,,,20,,,28,,3,,,10,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,True,False,True
2005,Universitywide,50011,01611190130609,ALAMEDA COMMUNITY LEARNING CTR,Alameda,Alameda,Alameda Unified,94501-1851,37.779051,-122.28703,True,11,10,4,0.9090909090909092,0.4,3.862,,,,,,,,,,4,,,,,,,,5,,,,,,,,,K-12 Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,True,False,True
2005,Universitywide,50005,01611190130229,ALAMEDA HIGH SCHOOL,Alameda,Alameda,Alameda Unified,94501-4406,37.764958,-122.24593,False,163,143,88,0.8773006134969326,0.6153846153846154,3.96852459,4.023732057,4.075772358,9,,84,6,11,,,30,11,,98,6,12,,,32,6,,56,,4,,,18,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,True,False,True
2005,Universitywide,50035,01611270130450,ALBANY HIGH SCHOOL,Albany,Alameda,Albany City Unified,94706-1422,37.896661,-122.29257,False,126,119,76,0.9444444444444444,0.6386554621848739,3.918080808,3.973913043,4.049444444,4,,46,14,8,5,,42,6,,47,15,9,5,,44,,,34,10,5,,,25,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,True,False,True
2005,Universitywide,51915,07617390730549,ALHAMBRA HIGH SCHOOL,Martinez,Contra Costa,Martinez Unified,94553-3139,38.002496,-122.13371,False,50,43,17,0.86,0.3953488372093023,3.935365854,3.967352941,4.184545455,,,5,5,7,,,26,,,5,6,7,,,31,,,3,,,,,10,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,True,False,True
2005,Universitywide,52495,01751010130583,AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,Pleasanton Unified,94566-6176,37.668296,-121.87327,False,117,110,58,0.9401709401709402,0.5272727272727272,3.859924242,3.917963526,3.985342466,,,35,8,12,,,55,,,38,8,13,,,57,,,27,5,4,,,22,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,True,False,True
2005,Universitywide,50974,01611760130062,AMERICAN HIGH SCHOOL,Fremont,Alameda,Fremont Unified,94536-3511,37.563645,-122.01747,False,104,95,54,0.9134615384615384,0.5684210526315789,3.950806846,3.988552279,4.063434343,,,69,7,5,,,12,,,74,8,7,,,13,,,42,5,,,,6,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,True,False,True
2005,Universitywide,53345,49706074930400,ANALY HIGH SCHOOL,Sebastopol,Sonoma,West Sonoma County Union High,95472-3401,38.406988,-122.82646,False,79,73,44,0.9240506329113924,0.6027397260273972,3.887460317,3.965853659,4.046470588,,,4,7,,,,59,,,5,7,,,,62,,,,3,,,,38,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,True,False,True
2005,Universitywide,53077,43694274332995,ANDREW P HILL HIGH SCHOOL,San Jose,Santa Clara,East Side Union High,95111-1332,37.291923,-121.83173,False,54,44,31,0.8148148148148148,0.7045454545454546,3.898163265,3.929487179,4.02,,,35,,7,,,,,,42,,9,,,,,,24,,5,,,,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,True,False,True
2005,Universitywide,50919,48705404830170,ANGELO RODRIGUEZ HIGH SCHOOL,Fairfield,Solano,Fairfield-Suisun Unified,94534-9527,38.197706,-122.14461,False,44,33,16,0.75,0.4848484848484848,3.968733333,4.014049587,4.211,3,,8,,6,,,12,6,,11,,7,,,16,,,4,,4,,,5,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,True,False,True
2005,Universitywide,50115,07616480730861,ANTIOCH HIGH SCHOOL,Antioch,Contra Costa,Antioch Unified,94509-1576,38.006279,-121.81595,False,38,31,15,0.8157894736842105,0.4838709677419355,3.679534884,3.848666667,4.098181818,,,5,,7,,,16,,,5,,10,,,17,,,,,,,,8,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,True,False,True
2005,Universitywide,53163,41690474130217,ARAGON HIGH SCHOOL,San Mateo,San Mateo,San Mateo Union High,94402-3357,37.549921,-122.33038,False,100,90,47,0.9,0.5222222222222223,3.93408,3.983457944,4.103370787,,,42,8,7,,,30,,,44,9,8,,,34,,,27,5,,,,10,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,True,False,True
2005,Universitywide,52770,21654822131340,ARCHIE WILLIAMS HIGH SCHOOL,San Anselmo,Marin,Tamalpais Union High,94960-1800,37.984157,-122.57197,False,92,90,50,0.9782608695652174,0.5555555555555556,3.919925926,3.976597938,4.096923077,,,,7,5,,,75,,,,7,6,,,76,,,,5,,,,40,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,True,False,True
2005,Universitywide,50910,48705404830451,ARMIJO HIGH SCHOOL,Fairfield,Solano,Fairfield-Suisun Unified,94533-5541,38.250617,-122.03907,False,49,44,23,0.8979591836734694,0.5227272727272727,3.804255319,3.881428571,4.0445,,,15,5,10,,,12,,,16,5,10,,,15,,,8,3,6,,,5,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,True,False,True
2005,Universitywide,53125,01613090130849,ARROYO HIGH SCHOOL,San Lorenzo,Alameda,San Lorenzo Unified,94580-1407,37.68081,-122.13836,False,55,52,36,0.9454545454545454,0.6923076923076923,3.904672897,3.962527473,4.111875,,,33,,4,,,11,,,34,,5,,,12,,,26,,,,,7,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,True,False,True
2005,Universitywide,52916,38684783830288,BALBOA HIGH SCHOOL,San Francisco,San Francisco,San Francisco Unified,94112-3236,37.722073,-122.43985,False,34,29,16,0.8529411764705882,0.5517241379310345,3.796118421,3.89525,4.009833333,,,24,,,,,,,,27,,,,,,,,14,,,,,,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,True,False,True
2005,Universitywide,50280,48705244831004,BENICIA HIGH SCHOOL,Benicia,Solano,Benicia Unified,94510-2428,38.062989,-122.17349,False,87,77,43,0.8850574712643678,0.5584415584415584,3.898695652,4.054411765,4.121891892,4,,17,8,,,,43,6,,21,10,,,,45,,,10,4,,,,24,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,True,False,True
2005,Universitywide,50290,01611430131177,BERKELEY HIGH SCHOOL,Berkeley,Alameda,Berkeley Unified,94704-1463,37.868913,-122.2712,False,277,238,110,0.8592057761732852,0.4621848739495798,3.947409766,4.021345178,4.069265537,19,,29,43,17,,,126,30,,36,49,25,,,133,7,,17,29,8,,,48,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,True,False,True
2005,Universitywide,53082,43694014330866,BRANHAM HIGH SCHOOL,San Jose,Santa Clara,Campbell Union High,95118-2201,37.254576,-121.89957,False,37,30,12,0.8108108108108109,0.4,3.943492063,4.0022,4.080666667,,,6,,,,,23,,,7,,,,,29,,,4,,,,,7,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,True,False,True
2005,Universitywide,50410,41690474130472,BURLINGAME HIGH SCHOOL,Burlingame,San Mateo,San Mateo Union High,94010-2708,37.58202,-122.3486,False,116,109,65,0.9396551724137931,0.5963302752293578,3.921382488,3.968711656,4.08755102,,,20,9,14,,,65,,,21,9,15,,,68,,,15,5,8,,,37,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,True,False,True
2005,Universitywide,53229,07618040730051,CALIFORNIA HIGH SCHOOL,San Ramon,Contra Costa,San Ramon Valley Unified,94583-2942,37.747296,-121.94758,False,189,174,88,0.9206349206349206,0.5057471264367817,3.91474934,3.951795666,4.005605096,,,76,8,12,,,74,,,81,8,15,,,79,,,47,4,6,,,30,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,True,False,True
2005,Universitywide,50435,28662412831758,CALISTOGA JUNIOR SENIOR HIGH SCHOOL,Calistoga,Napa,Calistoga Joint Unified,94515-1359,38.584001,-122.58126,False,6,4,,0.6666666666666666,,3.5656,3.645909091,4.082,,,,,,,,3,,,,,,,,5,,,,,,,,,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,True,False,True
2005,Universitywide,52058,07616300731125,CAMPOLINDO HIGH SCHOOL,Moraga,Contra Costa,Acalanes Union High,94556-2402,37.863519,-122.12464,False,171,148,69,0.8654970760233918,0.4662162162162162,4.002406417,4.0425,4.073333333,,,35,5,5,,,102,,,37,9,5,,,117,,,22,,,,,44,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,True,False,True
2005,Universitywide,52810,41690474130738,CAPUCHINO HIGH SCHOOL,San Bruno,San Mateo,San Mateo Union High,94066-5451,37.609938,-122.40628,False,30,24,16,0.8,0.6666666666666666,3.993518519,4.060243902,4.16,,,5,,,,,12,,,6,,,,,15,,,,,,,,8,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,True,False,True
2005,Universitywide,50270,41690624130993,CARLMONT HIGH SCHOOL,Belmont,San Mateo,Sequoia Union High,94002-3585,37.507579,-122.28908,False,114,108,64,0.9473684210526316,0.5925925925925926,3.972271468,4.022544803,4.074772727,,,35,5,8,,,58,,,35,7,8,,,61,,,27,3,5,,,28,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,True,False,True
2005,Universitywide,52448,49708624930012,CASA GRANDE HIGH SCHOOL,Petaluma,Sonoma,Petaluma Joint Union High,94954-5706,38.237149,-122.60173,False,58,51,26,0.8793103448275862,0.5098039215686274,3.946956522,3.987037037,4.096666667,,,10,,,,,37,,,11,,,,,41,,,5,,,,,20,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,True,False,True
2005,Universitywide,52190,,CASTLEMONT BUS INFORM TECH SCH,Oakland,Alameda,,,,,,13,5,4,0.3846153846153846,0.8,,,,4,,,,,,,,10,,,,,,,,3,,,,,,,,,unmatched,,,,,,,,,,,,,,,,,,,,True,False,False
2005,Universitywide,50500,01611500132225,CASTRO VALLEY HIGH SCHOOL,Castro Valley,Alameda,Castro Valley Unified,94546-3400,37.705184,-122.07847,False,164,148,91,0.902439024390244,0.6148648648648649,3.87157377,3.989184549,4.120098039,,,67,10,10,,,56,,,71,11,13,,,63,,,49,7,5,,,26,High Schools (Public),uc_directory_atp,,,,,,,,,,,,,,,,,,,,True,False,True
2005,Universitywide,50658,07100740731380,CLAYTON VALLEY CHARTER HIGH SCHOOL,Concord,Contra Costa,Contra Costa County Office of Education,94521-3799,37.950133,-121.96702,True,84,76,40,0.9047619047619048,0.5263157894736842,3.935483871,4.02696,4.126721311,,,13,10,11,,,38,,,13,10,11,,,43,,,9,5,,,,20,High Schools (Public),name_city,,,,,,,,,,,,,,,,,,,,True,False,True
